	Circular economy	Sustainability	Recycling	Environmental sustainability	Life cycle assessment	Waste management	Plastic waste	Wastewater	Resource recovery	industrial ecology	Industry 4.0	Anaerobic digestion	Material flow analysis	Waste	Biomass	Reuse	Bioeconomy	Municipal solid waste	Business model	Remanufacturing	Food waste	Construction	Renewable energy	Biorefinery	Agriculture	Wastewater treatment	Composting	Pyrolysis	Nutrient recovery	Circular business models	Climate change	Biochar	Adsorption	Resource efficiency	Sustainable development goals	Biogas	Industrial symbiosis	Waste valorization	Bibliometric analysis	CO<sub>2</sub> emissions	Waste-to-energy	Innovation	Construction and demolition waste	Food supply chain	by-products	Barriers	Supply chain	End-of-life	Valorization	Biofuels	E-waste	Microalgae	Mechanical properties	Greenhouse gas emissions	Sewage sludge	Bioenergy	Hydrogen	SMEs	Closed-loop supply chain	Critical raw materials	Lithium-ion batteries	WEEE	Reverse logistics	Digitalization	polyphenols	Decision-making	Machine learning	Circular supply chain	Heavy metals	Biodegradable	Systematic literature review	bioactive compounds	COVID-19	Textile waste	Bioplastics	Packaging	Literature review	Product-service system	European Union	Biowaste	China	Chemical recycling	Indicators	Techno-economic analysis	Recovery	Energy	Biopolymers	Carbon footprint	Lignocellulosic biomass	3D printing	antioxidants	Supply chain management	Case study	Additive manufacturing	Upcycling	Electric vehicles	Waste recycling	Policy	Eco-design	Optimization
Reverse logistics	124	41	12	4	1	12	3	1	4	0	10	0	0	2	0	3	0	1	1	11	0	4	0	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	1	0	0	3	1	2	3	3	7	5	0	0	6	0	0	0	0	0	0	1	17	0	2	11	0	1	0	5	0	1	0	0	4	0	0	0	0	3	4	0	0	0	0	1	0	0	2	0	0	1	0	0	0	9	2	0	0	2	0	1	0	1
Digitalization	111	48	5	7	4	8	2	2	5	3	32	0	3	2	0	1	1	1	11	4	0	4	2	0	2	0	0	0	1	5	3	0	0	4	3	0	0	1	5	1	0	7	1	4	0	1	3	0	0	0	2	0	0	1	0	0	0	6	2	1	0	1	1	0	0	2	3	2	0	0	0	0	4	0	0	1	1	7	1	0	1	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	1	1	1	0
polyphenols	78	10	11	0	6	3	11	2	1	0	0	0	0	4	1	1	1	1	0	0	0	0	0	4	1	1	2	5	0	0	1	1	1	0	0	1	0	4	0	0	0	0	0	4	11	0	0	0	4	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	1	0	8	0	1	1	0	0	0	0	0	15	0	0	0	1	0	0	0	0	1
Decision-making	108	44	7	5	7	13	2	6	4	3	8	1	3	3	0	1	0	1	3	11	0	2	3	2	2	1	0	0	2	0	0	0	0	3	3	0	2	0	1	0	1	1	3	1	3	1	1	1	0	2	1	0	0	0	3	2	0	1	1	2	2	1	5	2	0	0	4	1	0	0	3	0	0	0	0	0	1	2	0	4	0	0	2	0	1	1	0	0	0	0	0	2	0	0	0	1	0	1	1	3
Machine learning	71	27	13	5	6	11	7	1	1	5	4	2	1	0	1	1	2	7	2	3	0	4	2	2	1	1	1	1	4	0	1	1	2	0	3	1	0	1	2	2	0	1	2	1	0	0	2	1	0	1	0	3	0	0	0	1	0	0	0	0	1	0	0	3	0	4	0	1	0	1	3	0	1	0	1	0	0	0	1	2	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	1	2	1	0	6
Circular supply chain	117	57	2	3	0	0	2	0	2	1	12	0	0	0	0	0	0	0	8	2	0	0	0	0	0	1	0	0	0	9	0	0	0	0	1	0	2	0	2	0	1	0	0	1	0	15	7	0	0	0	3	0	0	0	0	0	0	3	12	0	0	2	1	2	0	1	1	0	0	0	11	0	0	1	0	0	5	3	0	0	1	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0
Heavy metals	38	8	2	6	3	3	2	10	3	0	0	2	1	2	5	1	0	1	0	0	2	1	0	1	0	11	3	3	5	0	0	8	26	0	1	1	0	3	2	2	0	0	1	0	0	0	0	1	2	0	1	1	0	0	4	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2
Biodegradable	67	34	16	4	3	6	12	0	1	0	0	2	0	1	5	0	6	2	0	0	2	0	0	1	1	0	11	1	1	0	0	2	0	0	1	3	0	2	0	0	0	1	0	1	0	0	0	2	0	0	0	2	6	0	1	1	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	13	4	0	0	0	2	0	1	0	0	0	0	10	0	2	2	3	0	0	5	0	0	0	0	0	0
Systematic literature review	110	53	4	12	3	3	0	0	1	4	9	0	1	1	0	3	1	1	7	3	5	6	2	0	0	0	0	0	0	4	2	0	0	0	2	0	2	0	15	0	1	1	2	4	3	9	5	1	0	0	0	0	0	0	0	2	0	2	5	0	0	1	4	0	0	3	3	11	0	0	0	0	2	0	1	1	1	5	1	0	0	0	2	0	1	1	0	0	0	1	0	8	1	1	0	1	0	0	0	0
bioactive compounds	64	23	1	0	0	1	0	3	0	1	0	2	0	5	5	0	3	0	0	0	6	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	4	8	0	0	0	10	4	0	1	1	0	0	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	10	0	0	0	1	0	0	1	0	0
COVID-19	93	47	2	11	2	13	11	3	5	0	6	0	0	4	0	1	2	4	1	1	4	1	1	1	4	0	0	3	0	1	7	0	0	0	3	0	1	1	2	3	2	1	0	4	0	1	10	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	4	0	0	1	0	2	0	2	0	0	1	2	0	1	1	2	0	0	1	0	0	0	0	0	3	0	1	0	5	0	0	0	0	3	0	0	0
Textile waste	98	39	32	7	10	13	3	1	0	2	0	1	4	5	0	7	0	4	2	1	1	0	1	0	2	0	3	2	0	1	2	0	1	1	0	1	0	1	1	0	0	3	0	1	1	2	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	1	0	1	0	1	1	0	1	1	0	2	2	0	0	0	1	1	0	3	0	0	2	0	0
Bioplastics	84	22	10	7	17	13	14	2	2	3	0	6	1	1	1	0	17	1	0	0	5	0	2	5	4	1	8	2	0	0	0	1	0	0	0	0	1	5	1	0	0	1	0	2	0	0	2	3	3	4	1	5	4	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	13	1	1	2	0	0	8	0	0	0	3	0	3	0	1	0	0	7	2	3	3	0	0	0	0	1	0	0	1	1	0
Packaging	92	26	23	9	14	8	15	2	0	1	0	0	7	7	1	12	1	2	0	0	2	1	0	0	2	0	1	0	0	0	2	0	0	2	0	0	0	1	1	0	1	2	0	2	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	4	1	0	0	2	8	0	2	1	2	2	0	2	1	0	2	1	1	1	0	1	1	1	3	0	2	0	1	1	3	0
Literature review	102	64	8	8	13	4	0	0	2	4	7	1	0	1	0	1	1	1	8	5	3	7	2	0	1	0	1	0	0	7	1	0	0	3	2	0	3	0	15	0	0	1	3	3	0	1	5	2	0	0	0	0	0	0	1	0	0	2	8	0	0	3	4	1	0	1	0	5	0	0	1	0	1	1	0	2	0	3	1	0	0	0	1	0	0	0	0	0	0	1	0	5	2	1	0	1	1	0	2	1
Product-service system	120	38	3	8	11	3	0	0	3	7	6	0	0	1	0	3	0	0	16	9	0	4	1	0	0	0	0	0	0	17	0	0	0	10	0	0	1	0	1	0	0	2	0	0	0	2	2	2	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	7	0	2	0	3	0	0	5	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	1	0
